call_id,utterance_id,speaker,text,stime,etime,duration
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4,0,Agent,"Hello, is this Mr. Johnson? This is Lisa calling from XYZ Collections. How are you today?",0.0,7.0,7.0
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4,1,Customer,"I'm sorry, but I think you have the wrong person. My name is Sarah.",6.5,12.0,5.5
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4,2,Agent,"Oh, I apologize for the confusion, Sarah. I'm reaching out about a debt related to an outstanding balance with Definite Bank.",11.0,19.0,8.0
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4,3,Customer,I don't have any account with Definite Bank. You might want to check your records.,18.0,24.0,6.0
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4,4,Agent,Thank you for letting me know. I will make a note to update our records.,23.0,30.0,7.0
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4,5,Customer,I appreciate that. Is there anything else I need to do?,29.0,34.0,5.0
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4,6,Agent,"No, that's all. I'm sorry for any inconvenience caused. Have a great day!",33.0,40.0,7.0
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4,7,Customer,"Thank you, you too!",39.0,42.0,3.0
019b9e97-9575-459e-9893-b59d8c99acef,0,Agent,"Hello, this is Jason calling from XYZ Collections. How are you today?",0.0,7.0,7.0
019b9e97-9575-459e-9893-b59d8c99acef,1,Customer,"I'm okay, but why are you calling me?",7.5,10.0,2.5
019b9e97-9575-459e-9893-b59d8c99acef,2,Agent,I'm reaching out regarding your overdue balance on your account. I just wanted to discuss your payment options.,10.0,20.0,10.0
019b9e97-9575-459e-9893-b59d8c99acef,3,Customer,I already requested to be on your do not call list last month.,19.8,23.0,3.1999999999999993
019b9e97-9575-459e-9893-b59d8c99acef,4,Agent,I apologize for the inconvenience. Let me check that for you and ensure your number is marked correctly.,22.0,31.0,9.0
019b9e97-9575-459e-9893-b59d8c99acef,5,Customer,Please do it quickly. I don’t want to hear from you again.,30.0,34.0,4.0
019b9e97-9575-459e-9893-b59d8c99acef,6,Agent,Absolutely. I’ll mark your number as do not call right now.,33.0,39.0,6.0
019b9e97-9575-459e-9893-b59d8c99acef,7,Customer,"Thank you, I hope this is the last call.",38.0,42.0,4.0
019b9e97-9575-459e-9893-b59d8c99acef,8,Agent,You're welcome! I've completed the request. You won't receive any further calls.,41.0,50.0,9.0
02b08433-58e0-46af-961e-221ba94cb8df,0,Agent,"Hello, this is Sarah calling from XYZ Collections. How are you today?",0.0,7.0,7.0
02b08433-58e0-46af-961e-221ba94cb8df,1,Customer,"I'm fine, thanks. What is this about?",8.0,12.0,4.0
02b08433-58e0-46af-961e-221ba94cb8df,2,Agent,I'm reaching out regarding your outstanding balance with Global Credit. Can I have your name to proceed?,11.0,20.0,9.0
02b08433-58e0-46af-961e-221ba94cb8df,3,Customer,It's John Harris.,21.0,23.0,2.0
02b08433-58e0-46af-961e-221ba94cb8df,4,Agent,"Thank you, John. You currently have a balance of three hundred dollars. When can we expect payment?",22.0,32.0,10.0
02b08433-58e0-46af-961e-221ba94cb8df,5,Customer,I wasn't even aware of that. Can you tell me more details?,33.0,36.0,3.0
02b08433-58e0-46af-961e-221ba94cb8df,6,Agent,Of course. This balance includes your last payment missed in August. Would you like to set up a payment plan?,35.0,45.0,10.0
02b08433-58e0-46af-961e-221ba94cb8df,7,Customer,I'm not sure if I can afford that right now.,46.0,50.0,4.0
02b08433-58e0-46af-961e-221ba94cb8df,8,Agent,"I understand, John. We can work with you on that. What amount could you manage as a down payment?",49.0,58.0,9.0
02b08433-58e0-46af-961e-221ba94cb8df,9,Customer,Maybe I can do fifty dollars.,59.0,62.0,3.0
02b08433-58e0-46af-961e-221ba94cb8df,10,Agent,"Great, I can arrange that. You can pay over the phone or online. Which preference do you have?",61.0,71.0,10.0
02b08433-58e0-46af-961e-221ba94cb8df,11,Customer,I prefer online payment.,72.0,75.0,3.0
02b08433-58e0-46af-961e-221ba94cb8df,12,Agent,Perfect! I'll send you a link to complete the payment. Thank you for your cooperation today.,76.0,85.0,9.0
02b08433-58e0-46af-961e-221ba94cb8df,13,Customer,Thank you for your help.,86.0,88.0,2.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0,0,Agent,"Hello, this is John calling from XYZ Collections. How are you today?",0.0,8.0,8.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0,1,Customer,"I'm fine, thanks. What’s this about?",9.1,12.5,3.4000000000000004
02f1cff9-7d47-4168-b1f9-d9fba10847a0,2,Agent,I’m reaching out regarding your overdue account. Can you please confirm your address for identity verification purposes?,11.0,24.0,13.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0,3,Customer,"Sure, it's 123 Elm Street.",25.0,27.0,2.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0,4,Agent,Thank you. And could you also provide your date of birth for further verification?,26.0,36.0,10.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0,5,Customer,"It's April 15, 1990.",37.0,40.0,3.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0,6,Agent,"Great, I’ve confirmed your identity. You have an outstanding balance of $250. How do you wish to proceed with the payment?",39.0,52.0,13.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0,7,Customer,I’d like to pay that off today through credit card.,53.0,58.0,5.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0,8,Agent,"That works. Can I have your credit card details, please?",57.0,62.0,5.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0,9,Customer,"Sure, it’s 4111-1111-1111-1111, expiring 06/25.",63.0,69.0,6.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0,10,Agent,Thank you for that information. I will process the payment now.,70.0,76.0,6.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0,11,Customer,How long will it take to reflect?,77.0,80.0,3.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0,12,Agent,It should reflect within 1-2 business days. Is there anything else I can assist you with?,81.0,89.0,8.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0,13,Customer,"No, that’s all. Thanks for your help!",90.0,93.0,3.0
02f1cff9-7d47-4168-b1f9-d9fba10847a0,14,Agent,You're welcome! Have a great day!,94.0,97.0,3.0
03132d8f-6a7d-47d0-9540-c6a0ac32d946,0,Customer,You have reached the voicemail of John Smith. Please leave a message after the beep.,0.0,8.0,8.0
03132d8f-6a7d-47d0-9540-c6a0ac32d946,1,Agent,"Hello John, this is Lisa from Stellar Collections. I am calling about your overdue balance.",9.0,20.0,11.0
03132d8f-6a7d-47d0-9540-c6a0ac32d946,2,Customer,"To leave a message, please include your name and number.",21.0,30.0,9.0
03132d8f-6a7d-47d0-9540-c6a0ac32d946,3,Agent,It's important to discuss your options for the account. You can reach me at 1-800-555-0199.,31.0,42.0,11.0
03132d8f-6a7d-47d0-9540-c6a0ac32d946,4,Customer,Thank you for your message. I will get back to you as soon as possible.,43.0,52.0,9.0
04bec80f-8614-484b-8ba2-831ff9dd03ef,0,Agent,"Hello, this is Kyle from XYZ Collections. How the hell are you?",0.0,7.0,7.0
04bec80f-8614-484b-8ba2-831ff9dd03ef,1,Customer,"I'm doing well, thank you. How can I assist you today?",7.5,12.0,4.5
04bec80f-8614-484b-8ba2-831ff9dd03ef,2,Agent,I need to verify your identity before discussing your account. Can you please give me your date of birth?,11.0,21.0,10.0
04bec80f-8614-484b-8ba2-831ff9dd03ef,3,Customer,"Sure, it's March 15, 1985.",20.0,23.0,3.0
04bec80f-8614-484b-8ba2-831ff9dd03ef,4,Agent,"Alright, that checks out. Now, you owe us a shitload of money. What the hell are you planning to do about it?",22.0,34.0,12.0
04bec80f-8614-484b-8ba2-831ff9dd03ef,5,Customer,"I plan to pay it off as soon as possible, but I need to discuss my options.",33.0,38.0,5.0
04bec80f-8614-484b-8ba2-831ff9dd03ef,6,Agent,"Options? Don't give me that crap. You need to pay up, plain and simple!",37.0,46.0,9.0
04bec80f-8614-484b-8ba2-831ff9dd03ef,7,Customer,"I understand, but I would like to know if I can set up a payment plan.",45.0,50.0,5.0
04bec80f-8614-484b-8ba2-831ff9dd03ef,8,Agent,Payment plan? Who the hell do you think you are? Just pay the damn balance!,49.0,58.0,9.0
04bec80f-8614-484b-8ba2-831ff9dd03ef,9,Customer,"I really want to resolve this, but I need a reasonable solution.",57.0,62.0,5.0
04bec80f-8614-484b-8ba2-831ff9dd03ef,10,Agent,A reasonable solution is to pay what you owe! Stop wasting my time!,61.0,70.0,9.0
04bec80f-8614-484b-8ba2-831ff9dd03ef,11,Customer,I will find a way to make this work. Thank you for your time.,69.0,74.0,5.0
04bec80f-8614-484b-8ba2-831ff9dd03ef,12,Agent,"Whatever, just get it done! Bye!",73.0,80.0,7.0
05731aab-0e72-46c1-8fd3-dc50fb20c758,0,Agent,"Hello, this is Jason from XYZ Collections. How are you today?",0.0,8.0,8.0
05731aab-0e72-46c1-8fd3-dc50fb20c758,1,Customer,"I'm doing fine, thank you. What’s this about?",7.5,11.0,3.5
05731aab-0e72-46c1-8fd3-dc50fb20c758,2,Agent,"I'm calling regarding your account with City Bank. To ensure I’m speaking with the right person, could you verify your date of birth?",10.0,20.0,10.0
05731aab-0e72-46c1-8fd3-dc50fb20c758,3,Customer,"Sure, it’s July 14, 1990.",19.0,24.0,5.0
05731aab-0e72-46c1-8fd3-dc50fb20c758,4,Agent,Thank you for that information. Can you also confirm your current address?,23.0,30.0,7.0
05731aab-0e72-46c1-8fd3-dc50fb20c758,5,Customer,"Yes, it's 123 Maple Street, Springfield.",29.0,34.0,5.0
05731aab-0e72-46c1-8fd3-dc50fb20c758,6,Agent,Great! I have verified your information. You currently have an outstanding balance of $250. How do you wish to proceed with payment?,33.0,44.0,11.0
05731aab-0e72-46c1-8fd3-dc50fb20c758,7,Customer,I can pay half today and the rest next month.,43.0,50.0,7.0
05731aab-0e72-46c1-8fd3-dc50fb20c758,8,Agent,That works. Would you like to pay the first installment online?,49.0,55.0,6.0
05731aab-0e72-46c1-8fd3-dc50fb20c758,9,Customer,"Yes, online is fine with me.",54.0,58.0,4.0
05731aab-0e72-46c1-8fd3-dc50fb20c758,10,Agent,Thank you! I’ll send you a link to complete the payment. Is there anything else I can assist you with today?,57.0,66.0,9.0
